file,adv,stop,rear,travel_time,match,remark
20230101_00,100069,,300071,4.6,1,
20230101_00,100108,200109,,3.8,0,
20230101_00,100108,200110,,11.9,0,
20230101_00,100482,200483,,4.9,1,
20230101_00,100493,200495,,5.5,1,
20230101_00,100541,200542,,4.7,1,
20230101_01,100099,200100,,4,1,
20230101_01,100116,200118,,6.2,0,
20230101_01,100117,200118,,2.6,0,
20230101_01,100154,200155,,5.5,1,
20230101_01,100224,200226,,4.7,1,
20230101_01,100225,200227,,4.4,1,
20230101_01,100333,200334,,6.2,1,
20230101_01,100388,200392,,6.3,1,
20230101_01,100406,200407,,4.1,1,
20230101_01,100406,200409,,11.8,0,
20230101_01,100408,200409,,7.1,1,
20230101_03,100034,200035,,3.7,1,
20230101_03,100040,200043,,7.4,0,
20230101_03,100041,200043,,5,0,
20230101_03,100042,200044,,7.3,1,
20230101_03,100049,200050,,3.7,1,
20230101_03,100075,200076,,5,1,
20230101_03,100098,200100,,5.7,1,
20230101_03,100156,200157,,4.2,1,
20230101_03,100241,200242,,7.9,1,
20230101_03,100253,,300255,9.1,1,
20230101_03,100325,200326,,6.9,1,updated
20230101_04,100008,200011,,5.3,1,
20230101_04,100009,200012,,4.8,1,
20230101_04,100010,200013,,6.3,1,updated
20230101_04,100057,200058,,4.6,1,
20230101_04,100127,200128,,5.5,1,
20230101_04,100145,200146,,4.6,1,
20230101_04,100220,200222,,7.7,1,
20230101_04,100229,,300230,5,1,
20230101_05,100005,200006,,6.3,1,
20230101_05,100057,200059,,7.5,1,updated
20230101_05,100078,200079,,6.5,1,
20230101_05,100097,200098,,3.6,1,
20230101_05,100131,,300132,6.7,1,
20230101_05,100173,200174,,5.2,1,
20230101_05,100188,200189,,4.3,1,
20230101_05,100222,200224,,5.6,1,
20230101_05,100223,200225,,7.2,1,
20230101_06,100017,200019,,4.6,1,
20230101_06,100018,200020,,6.5,1,
20230101_06,100025,200026,,6.6,1,
20230101_06,100138,200139,,4,1,
20230101_06,100206,200207,,6.2,1,
20230101_06,100250,200251,,4.6,1,
20230101_07,100140,200142,,7.8,1,
20230101_07,100174,200175,,4,1,
20230101_07,100211,200214,,4.5,1,
20230101_07,100211,200215,,5.8,0,
20230101_07,100212,200218,,12.7,0,
20230101_07,100212,200214,,3.2,0,
20230101_07,100212,200215,,4.5,1,
20230101_07,100213,,300217,5.3,1,
20230101_07,100216,200218,,7.8,1,
20230101_07,100244,200245,,7.8,1,
20230101_08,100030,200031,,5.6,1,
20230101_08,100063,,300064,5.6,1,
20230101_08,100082,200083,,3.8,1,
20230101_08,100115,200116,,6.2,1,
20230101_08,100144,200145,,8.9,1,
20230101_08,100162,200164,,5.6,1,
20230101_09,100058,200059,,5.3,1,
20230101_09,100148,200149,,4.7,1,
20230101_09,100156,200157,,10.4,0,updated
20230101_09,100173,200174,,6.3,1,
20230101_09,100185,200186,,6.8,1,
20230101_09,100270,200271,,5.3,1,
20230101_09,100320,200321,,5.4,1,
20230101_09,100402,200404,,3.8,1,updated
20230101_09,100402,200405,,5.5,0,
20230101_09,100403,200405,,3.7,1,updated
20230101_09,100403,200408,,11.8,0,
20230101_10,100281,200283,,4.9,1,
20230101_10,100281,200284,,12.8,0,
20230101_10,100282,200284,,9.1,1,
20230101_10,100293,200294,,4.3,1,
20230101_10,100389,200391,,9.9,0,
20230101_10,100389,200390,,4.8,0,
20230101_10,100483,200484,,4.1,1,
20230101_10,100526,200527,,3.8,1,
20230101_10,100528,200530,,8.3,0,
20230101_11,100050,200052,,5.1,1,
20230101_11,100192,200193,,4,1,
20230101_11,100229,200230,,4,1,
20230101_11,100253,,300254,6.4,1,
20230101_11,100321,200322,,4,1,
20230101_11,100352,200353,,4.4,1,
20230101_11,100433,200439,,4.9,0,
20230101_11,100433,200442,,9.2,0,
20230101_11,100436,200440,,3.8,1,
20230101_11,100438,200442,,5.3,0,
