file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20221206_0745_0815	100092	200094.0	223.0	0.3	33.3	32.9	69.4	2.8	35.0	5.0	0	1	0	0	1	0
20221206_0745_0815	100155	200157.0	223.0	1.0	16.0	15.7	8.6	-5.4	35.0	6.1	0	1	0	0	0	0
20221206_0745_0815	100156	200159.0	223.0	0.3	23.0	22.7	42.6	-0.4	35.0	4.2	1	0	0	0	0	0
20221206_0745_0815	100158	200161.0	223.0	0.3	8.6	7.6	3.3	3.2	31.0	6.5	0	1	0	0	1	0
20221206_0745_0815	100216	200217.0	223.0	0.3	24.1	23.6	19.2	-3.9	31.0	3.9	0	1	0	0	0	0
20221206_0745_0815	100434	200438.0	229.0	0.5	42.2	40.7	43.3	3.4	20.0	8.2	1	0	0	1	0	0
20221206_0745_0815	100524	200525.0	229.0	0.3	15.1	14.7	50.1	2.2	21.0	7.4	1	0	0	0	1	0
20221206_0745_0815	100564	200569.0	229.0	0.4	9.7	9.4	1.8	-1.4	21.0	4.3	0	1	0	0	0	0
20221206_0745_0815	100566	200571.0	229.0	0.3	1.8	1.4	7.4	0.4	45.0	6.2	0	1	0	0	1	0
20221206_0745_0815	100567	200573.0	229.0	0.3	17.4	17.1	43.2	0.7	45.0	7.8	1	0	0	0	1	0
20221206_0745_0815	100638	200639.0	229.0	0.3	12.0	11.2	19.3	1.2	30.0	6.3	0	1	0	0	1	0
20221206_0745_0815	100693	200695.0	229.0	0.5	10.4	10.1	23.2	2.8	44.0	8.5	0	1	0	0	1	0
20221206_0845_0915	100106	200107.0	214.0	0.3	50.7	49.9	15.6	0.8	26.0	5.2	0	1	0	0	1	0
20221206_0845_0915	100150	200151.0	214.0	0.2	27.3	26.3	10.5	-2.8	26.0	3.5	0	1	0	0	0	0
20221206_0845_0915	100250	200253.0	214.0	0.6	13.6	13.3	43.4	-1.8	40.0	6.8	0	0	0	0	0	0
20221206_0845_0915	100374	200382.0	167.0	0.4	7.0	6.8	28.8	-5.4	15.0	5.4	0	1	0	0	0	0
20221206_0845_0915	100377	200384.0	167.0	0.3	3.6	3.2	5.9	-3.1	15.0	3.9	1	0	0	0	0	0
20221206_0845_0915	100381	200388.0	167.0	0.5	1.6	1.1	4.9	-0.6	15.0	5.4	0	0	0	0	0	0
20221206_0845_0915	100385	200389.0	167.0	0.4	5.9	5.6	43.9	2.8	26.0	6.2	1	0	0	0	1	0
20221206_0845_0915	100467	200469.0	167.0	0.3	13.2	12.9	36.7	2.1	14.0	5.1	0	1	0	0	1	0
20221206_0845_0915	100468	200470.0	167.0	0.4	10.1	9.8	25.5	2.3	14.0	6.9	1	0	0	0	1	0
20221206_0845_0915	100566	200568.0	167.0	1.6	42.7	42.3	40.3	3.1	30.0	8.6	0	1	0	1	0	0
20221214_0745_0815	100073	200076.0	238.0	0.4	12.6	12.3	8.9	3.4	36.0	6.4	0	1	0	1	0	0
20221214_0745_0815	100137	200138.0	238.0	0.2	16.1	15.7	15.3	-1.0	36.0	3.5	0	1	0	0	0	0
20221214_0745_0815	100187	200188.0	238.0	0.3	35.8	35.5	9.7	0.5	37.0	5.2	1	0	0	0	1	0
20221214_0745_0815	100311	200313.0	238.0	0.4	35.5	35.2	5.2	0.1	31.0	5.4	0	1	0	0	1	0
20221214_0745_0815	100365	200367.0	238.0	0.4	12.6	12.3	7.9	-1.6	31.0	4.0	1	0	0	0	0	0
20221214_0745_0815	100546	200548.0	230.0	0.4	33.0	32.6	7.4	3.1	33.0	7.2	0	1	0	0	1	0
20221214_0745_0815	100603	200604.0	230.0	0.4	8.5	8.2	6.0	-1.7	33.0	5.6	0	1	0	0	0	0
20221214_0745_0815	100655	200656.0	230.0	1.9	13.1	12.7	45.1	-3.2	28.0	5.2	0	0	0	0	0	0
20221214_0745_0815	100721	200724.0	230.0	0.3	39.7	39.4	15.4	3.1	31.0	6.6	1	0	0	0	1	0
20221214_0745_0815	100771	200773.0	230.0	1.3	20.4	20.0	54.5	-5.2	31.0	5.8	0	1	0	0	0	0
20221214_0745_0815	100772	200774.0	230.0	0.3	24.2	23.8	55.5	-0.3	31.0	3.8	1	0	0	0	0	0
20221214_0845_0915	100309	200310.0	148.0	0.4	18.7	18.4	68.0	-1.9	26.0	4.4	1	0	0	0	0	0
20221214_0845_0915	100311	200312.0	148.0	0.3	11.4	11.2	69.0	3.1	16.0	7.6	0	1	0	0	1	0
20221214_0845_0915	100489	200492.0	148.0	0.2	13.9	13.6	3.9	-4.1	28.0	4.1	0	1	0	0	0	0
20221214_0845_0915	100490	200493.0	148.0	1.4	29.4	24.9	12.6	-0.7	28.0	4.0	0	0	1	0	0	0
20221214_0845_0915	100491	200494.0	148.0	0.2	3.9	3.7	42.2	-0.2	28.0	3.6	0	1	1	0	0	0
20221214_0945_1015	100041	200042.0	186.0	0.3	10.4	10.1	46.2	-2.2	26.0	3.7	1	0	0	0	0	0
20221214_0945_1015	100072	200073.0	186.0	0.3	16.3	15.7	58.0	-4.0	18.0	3.7	0	0	0	0	0	0
20221214_0945_1015	100167	200170.0	186.0	0.7	8.0	7.4	36.0	-4.9	33.0	5.4	1	0	0	0	0	0
20221214_0945_1015	100291	200299.0	186.0	2.8	6.0	5.4	7.6	-4.5	25.0	11.4	0	0	0	0	0	0
20221214_0945_1015	100296	200301.0	186.0	0.4	15.1	14.8	47.4	2.7	39.0	8.9	1	0	0	0	1	0
20221214_0945_1015	100369	200370.0	196.0	0.5	5.9	5.2	28.6	-0.8	39.0	4.2	0	0	0	0	0	0
20221214_0945_1015	100438	200440.0	196.0	0.4	21.7	21.2	1.5	-2.5	12.0	4.3	1	0	0	0	0	0
20221214_0945_1015	100439	200441.0	196.0	0.2	1.5	1.1	33.2	-1.0	12.0	4.0	1	0	0	0	0	0
20221214_0945_1015	100549	200550.0	196.0	0.5	18.3	18.0	48.6	0.8	27.0	7.8	0	1	0	0	1	0
20230327_1415_1900	100053	200056.0	273.0	0.3	14.1	13.9	23.1	-2.0	27.0	4.4	0	1	0	0	0	0
20230327_1415_1900	100170	200171.0	273.0	0.3	7.7	7.3	8.7	-1.7	65.0	4.0	0	1	0	0	0	0
20230327_1415_1900	100237	200239.0	273.0	0.3	44.5	21.3	5.4	2.6	36.0	6.5	0	1	0	0	1	0
20230327_1415_1900	100304	200306.0	273.0	0.5	29.4	29.0	8.8	-2.7	36.0	4.7	1	0	0	0	0	0
20230327_1415_1900	100305	200308.0	273.0	0.4	14.1	13.8	98.5	0.3	28.0	6.7	0	0	0	0	1	0
20230327_1415_1900	100482	200492.0	293.0	0.4	4.9	4.6	1.3	-5.5	79.0	4.6	0	1	0	0	0	0
20230327_1415_1900	100483	200494.0	293.0	0.2	3.4	3.1	2.8	-4.9	79.0	4.2	0	0	0	0	0	0
20230327_1415_1900	100485	200498.0	293.0	0.4	1.3	0.9	1.9	-4.2	79.0	4.6	0	1	0	0	0	1
20230327_1415_1900	100486	200497.0	293.0	0.3	1.7	1.4	2.6	-3.8	79.0	3.9	1	0	0	0	0	0
20230327_1415_1900	100488	200501.0	293.0	0.3	1.9	1.5	1.4	-2.3	79.0	4.4	0	1	0	0	0	0
20230327_1415_1900	100489	200502.0	293.0	0.3	2.8	2.6	4.9	-2.1	79.0	4.4	0	0	0	0	0	0
20230327_1415_1900	100491	200504.0	293.0	0.3	2.6	2.3	0.9	-1.2	79.0	4.0	1	0	0	0	0	0
20230327_1415_1900	100493	200508.0	293.0	0.1	1.4	1.1	0.6	-0.9	79.0	6.3	0	1	0	0	0	0
20230327_1415_1900	100495	200506.0	293.0	0.2	0.9	0.6	2.4	-0.3	79.0	4.2	1	0	0	0	0	1
20230327_1415_1900	100500	200511.0	293.0	0.3	2.4	2.2	3.5	2.1	52.0	6.0	1	0	0	0	1	0
20230327_1415_1900	100705	200708.0	293.0	0.5	5.8	5.6	16.6	1.1	41.0	7.5	1	0	0	0	1	0
20230327_1415_1900	100706	200710.0	293.0	0.5	8.7	8.2	4.0	2.9	41.0	8.8	0	0	0	0	1	0
20230327_1415_1900	100769	200776.0	293.0	0.3	3.2	2.9	2.1	-5.1	41.0	4.7	1	0	0	0	0	0
20230327_1415_1900	100773	200779.0	293.0	0.5	5.9	5.4	3.8	-3.3	41.0	4.7	0	0	0	0	0	0
20230327_1415_1900	100774	200780.0	293.0	0.4	2.1	1.8	1.3	-3.0	41.0	4.8	1	0	0	0	0	0
20230327_1415_1900	100775	200781.0	293.0	0.3	1.3	0.9	6.2	-1.7	41.0	4.7	1	0	0	0	0	1
20230327_1415_1900	100777	200786.0	293.0	0.7	3.8	3.3	4.3	0.5	59.0	6.1	0	0	0	0	1	0
20230327_1415_1900	100778	200790.0	293.0	0.4	9.8	9.1	4.4	1.1	59.0	7.1	0	1	0	0	1	0
20230327_1415_1900	100890	200892.0	293.0	0.8	19.7	19.0	4.6	-2.0	59.0	4.4	0	0	0	0	0	0
20230327_1415_1900	100891	200894.0	293.0	0.2	13.0	12.4	42.0	0.2	38.0	5.2	0	1	0	0	1	0
20230327_1415_1900	101040	201046.0	281.0	0.4	3.6	3.2	7.0	-4.5	49.0	3.9	0	0	0	0	0	0
20230327_1415_1900	101041	201047.0	281.0	0.3	2.2	2.0	1.8	-4.2	49.0	3.7	0	1	0	0	0	0
