file	adv	stop	match	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20221206_0645_0715	100022	200023.0	1.0	121.0	0.3	51.6	51.2	45.8	2.5	26.0	6.3	1	0	0	0	1	0
20221206_0645_0715	100068	200069.0	1.0	121.0	0.3	35.1	34.7	26.3	1.1	18.0	5.5	1	0	0	0	1	0
20221206_0645_0715	100092	200093.0	1.0	121.0	0.4	79.8	78.8	22.9	-0.8	18.0	4.1	0	0	0	0	0	0
20221206_0645_0715	100131	200132.0	1.0	121.0	0.3	66.0	65.6	30.8	-2.0	13.0	3.3	0	0	0	0	0	0
20221206_0645_0715	100133	200134.0	1.0	121.0	0.3	56.8	56.4	33.7	2.2	25.0	5.8	1	0	0	0	1	0
20221206_0645_0715	100185	200186.0	1.0	130.0	0.3	109.4	109.0	45.7	-3.7	8.0	4.5	1	0	0	0	0	0
20221206_0645_0715	100204	200205.0	1.0	130.0	0.3	76.0	75.6	30.9	2.2	17.0	6.4	0	1	0	0	1	0
20221206_0645_0715	100233	200235.0	1.0	130.0	0.2	47.1	46.7	12.3	1.4	16.0	7.3	1	0	0	0	1	0
20221206_0645_0715	100289	200294.0	0.0	130.0	0.4	16.6	16.1	4.0	-1.8	22.0	12.4	0	0	0	0	0	0
20221206_0645_0715	100290	200293.0	1.0	130.0	0.3	25.2	24.9	49.0	1.9	24.0	5.6	1	0	0	0	1	0
20221206_0645_0715	100291	200294.0	1.0	130.0	0.5	4.0	3.6	49.8	2.2	24.0	8.4	0	0	0	0	1	0
20221206_0645_0715	100355	200356.0	1.0	130.0	0.4	37.6	36.8	52.6	-1.9	16.0	4.7	0	1	0	0	0	0
20221206_0945_1200	100046	200048.0	1.0	201.0	0.5	20.4	17.8	25.6	-2.6	26.0	7.4	1	0	0	0	0	0
20221206_0945_1200	100101	200102.0	1.0	201.0	1.4	8.8	8.4	49.7	-5.0	33.0	4.7	0	0	0	0	0	0
20221206_0945_1200	100103	200104.0	1.0	201.0	0.4	16.9	15.5	35.7	2.5	27.0	5.9	0	1	0	0	1	0
20221206_0945_1200	100225	200227.0	1.0	201.0	0.3	12.9	12.5	13.1	-4.5	23.0	3.8	0	1	0	0	0	0
20221206_0945_1200	100324	200326.0	1.0	201.0	0.3	43.1	42.5	27.0	-3.9	23.0	3.9	0	1	0	0	0	0
20221206_0945_1200	100370	200374.0	0.0	200.0	0.4	9.0	8.7	5.4	-5.0	25.0	11.4	1	0	0	0	0	0
20221206_0945_1200	100372	200374.0	1.0	200.0	0.3	5.4	5.0	45.9	0.4	23.0	6.0	1	0	0	0	1	0
20221206_0945_1200	100413	200414.0	1.0	200.0	0.4	17.3	17.0	49.4	-3.7	23.0	4.7	1	0	0	0	0	0
20221206_0945_1200	100461	200462.0	1.0	200.0	0.6	9.9	9.1	16.1	-5.0	26.0	4.9	0	0	0	0	0	0
20221206_0945_1200	100481	200484.0	0.0	200.0	0.3	38.0	37.3	5.4	-5.3	12.0	10.5	1	0	0	0	0	0
20221206_0945_1200	100481	200482.0	1.0	200.0	0.3	38.0	37.3	5.4	-5.3	12.0	4.8	1	0	0	0	0	0
20221206_0945_1200	100483	200484.0	1.0	200.0	0.3	5.4	5.1	21.4	0.1	24.0	5.1	1	0	0	0	1	0
20221206_0945_1200	100570	200571.0	1.0	200.0	0.4	14.5	13.0	40.2	1.6	24.0	6.9	0	1	0	0	1	0
20221206_0945_1200	100607	200608.0	1.0	200.0	0.3	30.1	29.4	14.7	-4.3	24.0	4.1	1	0	0	0	0	0
20221206_0945_1200	100797	200799.0	1.0	187.0	0.4	30.3	29.7	13.8	1.6	30.0	5.9	0	1	0	0	1	0
20221206_0945_1200	100880	200881.0	1.0	187.0	0.4	10.4	10.0	44.0	-0.3	18.0	7.1	1	0	1	0	0	0
20221206_0945_1200	100916	200918.0	1.0	187.0	0.6	13.6	12.7	6.4	-1.1	21.0	3.8	0	0	0	0	0	0
20221206_0945_1200	100917	200920.0	1.0	187.0	0.3	12.1	11.8	19.9	1.3	19.0	5.0	1	0	0	0	1	0
20221206_0945_1200	100946	200949.0	1.0	187.0	1.1	18.0	17.6	10.0	-5.8	19.0	5.2	0	0	0	0	0	0
20221206_0945_1200	100950	200952.0	1.0	187.0	0.4	9.5	9.2	23.4	2.6	18.0	6.7	1	0	0	0	1	0
20221206_0945_1200	100973	200975.0	1.0	187.0	0.3	48.4	48.1	24.1	-0.3	18.0	5.3	1	0	1	0	0	0
20221206_0945_1200	100974	200976.0	1.0	187.0	0.5	4.3	4.0	22.8	0.9	27.0	9.1	0	1	0	0	1	0
20221206_0945_1200	101047	201050.0	1.0	205.0	0.4	2.9	2.6	33.2	-3.9	18.0	4.8	0	1	0	0	0	0
20221206_0945_1200	101049	201051.0	1.0	205.0	0.2	39.0	38.4	21.0	0.0	18.0	6.3	1	0	1	0	0	0
20221206_0945_1200	101231	201237.0	0.0	205.0	0.3	36.4	35.8	4.1	-3.1	25.0	11.1	0	0	0	0	0	0
20221206_0945_1200	101234	201237.0	1.0	205.0	0.3	4.1	3.8	22.5	1.0	30.0	7.0	0	0	0	0	1	0
20221206_0945_1200	101353	201354.0	1.0	205.0	0.4	7.6	6.7	47.4	-4.4	45.0	5.0	0	0	0	0	0	0
20221206_0945_1200	101416	201418.0	1.0	203.0	0.2	9.0	8.6	5.9	0.3	25.0	6.1	0	1	0	0	1	0
20221206_0945_1200	101456	201458.0	1.0	203.0	0.6	17.5	16.5	35.5	-4.1	25.0	9.5	0	1	0	0	0	0
20221206_0945_1200	101506	201508.0	1.0	203.0	0.3	7.5	7.3	37.9	-4.0	18.0	4.2	1	0	0	0	0	0
20221206_0945_1200	101580	201583.0	1.0	203.0	0.3	9.6	9.1	33.1	-0.8	41.0	4.9	0	1	0	0	0	0
20221206_0945_1200	101619	201621.0	1.0	203.0	0.3	25.7	25.2	55.7	-4.3	22.0	4.2	1	0	0	0	0	0
20221206_0945_1200	101648	201650.0	1.0	203.0	0.3	8.3	7.9	32.3	-4.3	16.0	4.9	1	0	0	0	0	0
20221206_0945_1200	101693	201695.0	1.0	203.0	0.3	7.0	6.6	13.1	-4.1	24.0	4.8	0	1	0	0	0	0
20221206_0945_1200	101779	201781.0	1.0	197.0	0.5	23.7	22.9	41.0	-4.4	28.0	4.7	0	0	0	0	0	0
20221206_0945_1200	101859	201865.0	1.0	197.0	0.5	2.7	2.4	49.4	-5.0	27.0	4.4	0	0	0	0	0	0
20221206_0945_1200	101862	201867.0	0.0	197.0	0.3	3.8	3.4	0.9	-2.9	27.0	5.6	1	0	0	0	0	0
20221206_0945_1200	101862	201866.0	1.0	197.0	0.3	3.8	3.4	0.9	-2.9	27.0	4.5	1	0	0	0	0	0
20221206_0945_1200	101864	201866.0	0.0	197.0	0.4	0.9	0.6	9.4	-2.0	27.0	3.6	1	0	0	0	0	1
20221206_0945_1200	101864	201867.0	1.0	197.0	0.4	0.9	0.6	9.4	-2.0	27.0	4.7	1	0	0	0	0	1
20221206_0945_1200	101896	201898.0	1.0	197.0	0.3	9.1	8.9	9.9	-1.1	19.0	3.7	1	0	0	0	0	0
20221206_0945_1200	101897	201899.0	1.0	197.0	0.3	52.5	51.6	16.7	1.5	24.0	5.7	0	0	0	0	1	0
20221206_0945_1200	102054	202055.0	1.0	197.0	0.5	21.6	21.2	12.8	1.1	24.0	8.4	0	1	0	0	1	0
20221206_0945_1200	102139	202144.0	0.0	262.0	0.3	13.2	12.9	3.6	-2.8	25.0	9.7	0	1	0	0	0	0
20221206_0945_1200	102139	202141.0	1.0	262.0	0.3	13.2	12.9	3.6	-2.8	25.0	4.4	0	1	0	0	0	0
20221206_0945_1200	102140	202144.0	1.0	262.0	0.3	3.6	3.3	7.7	0.8	21.0	6.1	0	1	0	0	1	0
20221206_0945_1200	102142	202145.0	1.0	262.0	0.3	8.9	8.6	45.6	1.7	21.0	6.6	1	0	0	0	1	0
20221206_0945_1200	102175	202176.0	1.0	262.0	0.5	9.6	9.1	7.1	-2.0	21.0	3.8	0	0	0	0	0	0
20221206_0945_1200	102278	202283.0	1.0	262.0	0.4	14.2	13.8	2.1	-2.8	26.0	4.6	0	1	0	0	0	0
