file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230101_00	100482	200483.0	72.0	0.4	22.6	22.1	43.1	-0.6	12.0	4.9	0	0	0	0	0	0
20230101_00	100493	200495.0	72.0	0.3	21.8	21.5	3.4	3.3	9.0	5.5	1	0	0	0	1	0
20230101_00	100541	200542.0	72.0	0.4	20.8	20.5	19.5	-0.2	8.0	4.7	1	0	1	0	0	0
20230101_01	100099	200100.0	91.0	0.3	20.5	20.1	10.1	-1.1	19.0	4.0	0	1	0	0	0	0
20230101_01	100154	200155.0	91.0	0.3	24.5	24.2	17.6	-5.7	12.0	5.5	0	1	0	0	0	0
20230101_01	100224	200226.0	90.0	0.4	15.6	15.3	64.8	-4.5	19.0	4.7	0	1	0	0	0	0
20230101_01	100225	200227.0	90.0	0.7	12.9	12.3	30.5	-1.1	19.0	4.4	0	0	0	0	0	0
20230101_01	100333	200334.0	90.0	0.1	29.4	29.0	31.2	2.2	9.0	6.2	1	0	0	0	1	0
20230101_01	100388	200392.0	80.0	0.4	19.5	19.1	5.0	2.8	11.0	6.3	0	1	0	0	1	0
20230101_01	100406	200407.0	80.0	0.3	23.7	23.4	4.7	-2.6	11.0	4.1	0	1	0	0	0	0
20230101_01	100408	200409.0	80.0	0.4	4.7	4.4	23.9	2.1	9.0	7.1	0	1	0	0	1	0
20230101_03	100034	200035.0	58.0	0.3	135.8	135.0	83.4	-2.5	4.0	3.7	1	0	0	0	0	0
20230101_03	100042	200044.0	58.0	0.4	57.1	56.6	122.5	3.5	7.0	7.3	0	1	0	1	0	0
20230101_03	100049	200050.0	58.0	0.3	42.0	41.6	38.6	-3.7	7.0	3.7	0	0	0	0	0	0
20230101_03	100075	200076.0	58.0	0.6	110.5	110.1	44.0	-5.9	6.0	5.0	0	0	0	0	0	0
20230101_03	100098	200100.0	58.0	0.4	34.2	33.8	101.0	3.3	5.0	5.7	0	0	0	1	0	0
20230101_03	100156	200157.0	52.0	0.4	24.4	24.1	38.7	-1.4	9.0	4.2	1	0	0	0	0	0
20230101_03	100241	200242.0	41.0	0.3	55.8	55.3	38.2	2.8	8.0	7.9	1	0	0	0	1	0
20230101_03	100325	200326.0	42.0	0.4	18.7	18.4	34.6	3.3	20.0	6.9	0	1	0	1	0	0
20230101_04	100008	200011.0	41.0	0.4	41.1	40.9	20.6	-1.4	7.0	5.3	0	1	0	0	0	0
20230101_04	100009	200012.0	41.0	0.3	61.2	60.9	35.1	-0.9	7.0	4.8	1	0	0	0	0	0
20230101_04	100057	200058.0	41.0	0.3	40.9	40.3	52.9	-3.0	5.0	4.6	0	0	0	0	0	0
20230101_04	100127	200128.0	27.0	0.3	111.2	110.9	593.4	2.0	2.0	5.5	0	0	0	0	1	0
20230101_04	100145	200146.0	37.0	0.3	17.3	17.0	142.6	-2.1	5.0	4.6	0	1	0	0	0	0
20230101_04	100220	200222.0	25.0	0.5	6.3	6.0	5.9	-0.8	5.0	7.7	0	1	0	0	0	0
20230101_05	100005	200006.0	29.0	0.4	24.1	23.9	120.5	3.3	3.0	6.3	1	0	0	1	0	0
20230101_05	100057	200059.0	31.0	0.6	138.2	137.1	44.7	0.7	8.0	7.5	0	0	0	0	1	0
20230101_05	100078	200079.0	31.0	0.3	35.0	34.7	140.0	1.8	2.0	6.5	0	1	0	0	1	0
20230101_05	100097	200098.0	31.0	0.3	6.3	5.9	101.1	-2.0	5.0	3.6	0	1	0	0	0	0
20230101_05	100173	200174.0	34.0	0.5	73.3	72.9	370.3	-3.9	7.0	5.2	0	0	0	0	0	0
20230101_05	100188	200189.0	34.0	0.3	31.1	30.8	39.4	0.0	4.0	4.3	1	0	0	0	1	0
