file	adv	stop	match	volume_adv_15	Lane_adv	AIY_adv	TUY_adv	SCA_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	HeadwayLead_adv	GapLead_adv	arrival_time_adv	volume_adv_cycle_adv	AIY_stop	TUY_stop	SCA_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	HeadwayLead_stop	GapLead_stop	arrival_time_stop	volume_adv_cycle_stop	travel_time
20221206_0745_0815	100092	200094.0	1	223.0	R	2.8	117.2	YY	0.3	33.3	32.9	69.4	69.1	2.8	35.0	7.8	112.2	RG	58.3	32.7	31.7	68.5	10.2	7.8	35.0	5.0
20221206_0745_0815	100155	200157.0	1	223.0	R	114.6	5.4	GG	1.0	16.0	15.7	8.6	7.6	-5.4	35.0	0.7	119.3	YY	2.1	17.7	16.8	9.0	6.9	0.7	31.0	6.1
20221206_0745_0815	100156	200159.0	1	223.0	M	119.6	0.4	GG	0.3	23.0	22.7	42.6	42.3	-0.4	35.0	3.8	116.2	RR	0.8	22.4	21.4	46.6	45.8	3.8	31.0	4.2
20221206_0745_0815	100158	200161.0	1	223.0	R	3.2	116.8	YY	0.3	8.6	7.6	3.3	3.0	3.2	31.0	9.7	110.3	RG	70.8	9.0	6.9	71.5	0.7	9.7	31.0	6.5
20221206_0745_0815	100216	200217.0	1	223.0	R	116.1	3.9	GG	0.3	24.1	23.6	19.2	18.9	-3.9	31.0	120.0	0.0	GY	0.9	23.7	22.4	22.3	21.4	0.0	31.0	3.9
20221206_0745_0815	100434	200438.0	1	229.0	M	3.4	116.6	YR	0.5	42.2	40.7	43.3	42.8	3.4	20.0	11.6	108.4	RG	70.5	40.6	39.3	70.7	0.2	11.6	20.0	8.2
20221206_0745_0815	100524	200525.0	1	229.0	M	2.2	117.8	YY	0.3	15.1	14.7	50.1	49.8	2.2	21.0	9.6	110.4	RG	74.6	17.5	16.5	75.1	0.5	9.6	21.0	7.4
20221206_0745_0815	100564	200571.0	0	229.0	R	118.6	1.4	GG	0.4	9.7	9.4	1.8	1.4	-1.4	21.0	6.6	113.4	RG	66.6	3.7	2.9	67.2	0.6	6.6	45.0	8.0
20221206_0745_0815	100566	200571.0	1	229.0	R	0.4	119.6	YY	0.3	1.8	1.4	7.4	7.1	0.4	45.0	6.6	113.4	RG	66.6	3.7	2.9	67.2	0.6	6.6	45.0	6.2
20221206_0745_0815	100564	200569.0	1	229.0	R	118.6	1.4	GG	0.4	9.7	9.4	1.8	1.4	-1.4	21.0	2.9	117.1	YR	0.8	9.6	8.8	3.7	2.9	2.9	45.0	4.3
20221206_0745_0815	100566	200569.0	0	229.0	R	0.4	119.6	YY	0.3	1.8	1.4	7.4	7.1	0.4	45.0	2.9	117.1	YR	0.8	9.6	8.8	3.7	2.9	2.9	45.0	2.5
20221206_0745_0815	100567	200573.0	1	229.0	M	0.7	119.3	YY	0.3	17.4	17.1	43.2	42.9	0.7	45.0	8.5	111.5	RG	59.5	9.0	7.9	61.6	2.1	8.5	45.0	7.8
20221206_0745_0815	100638	200639.0	1	229.0	R	1.2	118.8	YY	0.3	12.0	11.2	19.3	19.0	1.2	30.0	7.5	112.5	RG	66.6	13.5	12.2	67.2	0.6	7.5	30.0	6.3
20221206_0745_0815	100693	200695.0	1	229.0	R	2.8	117.2	YY	0.5	10.4	10.1	23.2	22.7	2.8	44.0	11.3	108.7	RG	68.5	14.9	14.1	68.9	0.4	11.3	44.0	8.5
20221206_0845_0915	100106	200107.0	1	214.0	R	0.8	119.2	YY	0.3	50.7	49.9	15.6	15.3	0.8	26.0	6.0	114.0	RG	74.3	43.7	42.4	75.2	0.9	6.0	26.0	5.2
20221206_0845_0915	100150	200151.0	1	214.0	R	117.2	2.8	GG	0.2	27.3	26.3	10.5	10.3	-2.8	26.0	0.7	119.3	YY	0.7	22.2	21.0	13.3	12.6	0.7	18.0	3.5
20221206_0845_0915	100250	200253.0	1	214.0	L	118.2	1.8	GG	0.6	13.6	13.3	43.4	42.8	-1.8	40.0	5.0	115.0	RG	78.5	16.3	15.5	80.7	2.2	5.0	32.0	6.8
20221206_0845_0915	100374	200382.0	1	167.0	R	105.8	5.4	GG	0.4	7.0	6.8	28.8	28.4	-5.4	15.0	111.2	0.0	GY	1.1	8.6	7.9	33.4	32.3	0.0	15.0	5.4
20221206_0845_0915	100375	200388.0	0	167.0	L	107.2	4.0	GG	0.6	2.8	2.2	1.8	1.2	-4.0	15.0	4.8	107.6	RG	83.5	7.0	6.0	84.0	0.5	4.8	26.0	8.8
20221206_0845_0915	100379	200388.0	0	167.0	L	109.0	2.2	GG	0.5	1.8	1.2	1.6	1.1	-2.2	15.0	4.8	107.6	RG	83.5	7.0	6.0	84.0	0.5	4.8	26.0	7.0
20221206_0845_0915	100381	200388.0	1	167.0	L	110.6	0.6	GG	0.5	1.6	1.1	4.9	4.4	-0.6	15.0	4.8	107.6	RG	83.5	7.0	6.0	84.0	0.5	4.8	26.0	5.4
20221206_0845_0915	100377	200384.0	1	167.0	M	108.1	3.1	GG	0.3	3.6	3.2	5.9	5.6	-3.1	15.0	0.8	111.6	YY	0.7	2.7	1.7	8.2	7.5	0.8	26.0	3.9
20221206_0845_0915	100377	200389.0	0	167.0	M	108.1	3.1	GG	0.3	3.6	3.2	5.9	5.6	-3.1	15.0	9.0	103.4	RG	83.8	8.2	7.5	85.2	1.4	9.0	26.0	12.1
20221206_0845_0915	100385	200389.0	1	167.0	M	2.8	109.6	YY	0.4	5.9	5.6	43.9	43.5	2.8	26.0	9.0	103.4	RG	83.8	8.2	7.5	85.2	1.4	9.0	26.0	6.2
20221206_0845_0915	100467	200469.0	1	167.0	R	2.1	97.9	YY	0.3	13.2	12.9	36.7	36.4	2.1	14.0	7.2	92.8	RG	70.9	14.4	13.7	72.2	1.3	7.2	14.0	5.1
20221206_0845_0915	100468	200470.0	1	167.0	M	2.3	97.7	YY	0.4	10.1	9.8	25.5	25.1	2.3	14.0	9.2	90.8	RG	70.9	12.5	11.7	71.6	0.7	9.2	14.0	6.9
20221206_0845_0915	100566	200568.0	1	167.0	R	3.1	96.9	YR	1.6	42.7	42.3	40.3	38.7	3.1	30.0	11.7	88.3	RG	70.3	39.6	37.9	71.6	1.3	11.7	30.0	8.6
20221214_0745_0815	100073	200076.0	1	238.0	R	3.4	116.6	YR	0.4	12.6	12.3	8.9	8.5	3.4	36.0	9.8	110.2	RG	67.9	29.2	28.2	68.2	0.3	9.8	36.0	6.4
20221214_0745_0815	100137	200138.0	1	238.0	R	119.0	1.0	GG	0.2	16.1	15.7	15.3	15.1	-1.0	36.0	2.5	117.5	YY	0.6	14.2	13.1	21.2	20.6	2.5	26.0	3.5
20221214_0745_0815	100187	200188.0	1	238.0	M	0.5	119.5	YY	0.3	35.8	35.5	9.7	9.4	0.5	37.0	5.7	114.3	RG	69.7	36.1	35.2	70.0	0.3	5.7	37.0	5.2
20221214_0745_0815	100311	200313.0	1	238.0	R	0.1	119.9	YY	0.4	35.5	35.2	5.2	4.8	0.1	31.0	5.5	114.5	RG	76.2	36.5	35.7	77.2	1.0	5.5	31.0	5.4
20221214_0745_0815	100365	200367.0	1	238.0	M	118.4	1.6	GG	0.4	12.6	12.3	7.9	7.5	-1.6	31.0	2.4	117.6	YY	0.8	12.7	11.9	11.0	10.2	2.4	33.0	4.0
20221214_0745_0815	100546	200548.0	1	230.0	R	3.1	116.9	YY	0.4	33.0	32.6	7.4	7.0	3.1	33.0	10.3	109.7	RG	77.4	35.7	33.4	78.9	1.5	10.3	33.0	7.2
20221214_0745_0815	100603	200604.0	1	230.0	R	118.3	1.7	GG	0.4	8.5	8.2	6.0	5.6	-1.7	33.0	3.9	116.1	RG	77.9	9.5	8.6	78.6	0.7	3.9	28.0	5.6
20221214_0745_0815	100655	200656.0	1	230.0	L	116.8	3.2	GG	1.9	13.1	12.7	45.1	43.2	-3.2	28.0	2.0	118.0	YR	2.2	14.0	13.1	47.5	45.3	2.0	35.0	5.2
20221214_0745_0815	100721	200724.0	1	230.0	M	3.1	116.9	YY	0.3	39.7	39.4	15.4	15.1	3.1	31.0	9.7	110.3	RG	72.1	42.4	41.6	72.3	0.2	9.7	31.0	6.6
20221214_0745_0815	100771	200773.0	1	230.0	R	114.8	5.2	GG	1.3	20.4	20.0	54.5	53.2	-5.2	31.0	0.6	119.4	YY	2.4	20.8	19.8	54.4	52.0	0.6	29.0	5.8
20221214_0745_0815	100772	200774.0	1	230.0	M	119.7	0.3	GG	0.3	24.2	23.8	55.5	55.2	-0.3	31.0	3.5	116.5	YR	0.7	22.6	21.6	58.9	58.2	3.5	29.0	3.8
20221214_0845_0915	100309	200310.0	1	148.0	M	100.6	1.9	GG	0.4	18.7	18.4	68.0	67.6	-1.9	26.0	2.5	114.5	YY	0.9	19.0	17.5	69.8	68.9	2.5	16.0	4.4
20221214_0845_0915	100311	200312.0	1	148.0	R	3.1	113.9	YY	0.3	11.4	11.2	69.0	68.7	3.1	16.0	10.7	106.3	RG	79.9	15.0	14.2	80.9	1.0	10.7	16.0	7.6
20221214_0845_0915	100489	200492.0	1	148.0	R	95.9	4.1	GG	0.2	13.9	13.6	3.9	3.7	-4.1	28.0	0.0	100.0	YY	0.8	14.1	13.3	3.4	2.6	0.0	29.0	4.1
20221214_0845_0915	100489	200494.0	0	148.0	R	95.9	4.1	GG	0.2	13.9	13.6	3.9	3.7	-4.1	28.0	3.4	96.6	YR	0.7	3.4	2.6	45.2	44.5	3.4	29.0	7.5
20221214_0845_0915	100491	200494.0	1	148.0	R	99.8	0.2	GY	0.2	3.9	3.7	42.2	42.0	-0.2	28.0	3.4	96.6	YR	0.7	3.4	2.6	45.2	44.5	3.4	29.0	3.6
20221214_0845_0915	100490	200493.0	1	148.0	L	99.3	0.7	GY	1.4	29.4	24.9	12.6	11.2	-0.7	28.0	3.3	96.7	YR	0.8	21.5	19.9	15.8	15.0	3.3	29.0	4.0
20221214_0945_1015	100041	200042.0	1	186.0	M	97.8	2.2	GG	0.3	10.4	10.1	46.2	45.9	-2.2	26.0	1.5	98.5	YY	0.8	9.9	9.0	49.9	49.1	1.5	18.0	3.7
20221214_0945_1015	100072	200073.0	1	186.0	L	96.0	4.0	GG	0.3	16.3	15.7	58.0	57.7	-4.0	18.0	99.7	0.3	GY	0.8	15.8	15.0	33.0	32.2	-0.3	18.0	3.7
20221214_0945_1015	100167	200170.0	1	186.0	M	95.1	4.9	GG	0.7	8.0	7.4	36.0	35.3	-4.9	33.0	0.5	104.5	YY	1.1	6.8	5.7	36.3	35.2	0.5	18.0	5.4
20221214_0945_1015	100291	200294.0	0	186.0	L	100.5	4.5	GG	2.8	6.0	5.4	7.6	4.8	-4.5	25.0	0.9	94.1	YY	1.5	4.3	2.6	6.0	4.5	0.9	39.0	5.4
20221214_0945_1015	100291	200299.0	1	186.0	L	100.5	4.5	GG	2.8	6.0	5.4	7.6	4.8	-4.5	25.0	6.9	88.1	RG	53.6	6.0	4.5	59.0	5.4	6.9	39.0	11.4
20221214_0945_1015	100297	200299.0	0	186.0	L	3.1	91.9	YY	0.4	7.6	4.8	2.7	2.3	3.1	39.0	6.9	88.1	RG	53.6	6.0	4.5	59.0	5.4	6.9	39.0	3.8
20221214_0945_1015	100296	200301.0	1	186.0	M	2.7	92.3	YY	0.4	15.1	14.8	47.4	47.0	2.7	39.0	11.6	83.4	RG	45.8	9.7	8.4	48.4	2.6	11.6	39.0	8.9
20221214_0945_1015	100369	200370.0	1	196.0	L	94.2	0.8	GG	0.5	5.9	5.2	28.6	28.1	-0.8	39.0	3.4	96.6	YR	0.7	5.4	4.4	31.9	31.2	3.4	27.0	4.2
20221214_0945_1015	100438	200440.0	1	196.0	M	97.5	2.5	GG	0.4	21.7	21.2	1.5	1.1	-2.5	12.0	1.8	98.2	YY	0.9	20.3	19.3	1.2	0.3	1.8	11.0	4.3
20221214_0945_1015	100439	200440.0	0	196.0	M	99.0	1.0	GG	0.2	1.5	1.1	33.2	33.0	-1.0	12.0	1.8	98.2	YY	0.9	20.3	19.3	1.2	0.3	1.8	11.0	2.8
20221214_0945_1015	100438	200441.0	0	196.0	M	97.5	2.5	GG	0.4	21.7	21.2	1.5	1.1	-2.5	12.0	3.0	97.0	YR	0.8	1.2	0.3	36.5	35.7	3.0	11.0	5.5
20221214_0945_1015	100439	200441.0	1	196.0	M	99.0	1.0	GG	0.2	1.5	1.1	33.2	33.0	-1.0	12.0	3.0	97.0	YR	0.8	1.2	0.3	36.5	35.7	3.0	11.0	4.0
20221214_0945_1015	100549	200550.0	1	196.0	R	0.8	99.2	YY	0.5	18.3	18.0	48.6	48.1	0.8	27.0	8.6	91.4	RG	66.9	21.6	20.7	67.1	0.2	8.6	27.0	7.8
20230327_1415_1900	100053	200056.0	1	273.0	R	148.0	2.0	GG	0.3	14.1	13.9	23.1	22.8	-2.0	27.0	2.4	147.6	YY	0.9	15.4	14.8	27.0	26.1	2.4	65.0	4.4
20230327_1415_1900	100170	200171.0	1	273.0	R	148.3	1.7	GG	0.3	7.7	7.3	8.7	8.4	-1.7	65.0	2.3	116.8	YY	0.8	6.7	5.7	13.8	13.0	2.3	37.0	4.0
20230327_1415_1900	100237	200239.0	1	273.0	R	2.6	88.1	YY	0.3	44.5	21.3	5.4	5.1	2.6	36.0	9.1	81.6	RG	25.6	21.2	20.1	26.2	0.6	9.1	36.0	6.5
20230327_1415_1900	100304	200306.0	1	273.0	M	88.0	2.7	GG	0.5	29.4	29.0	8.8	8.3	-2.7	36.0	2.0	173.5	YY	0.9	23.8	23.0	49.6	48.7	2.0	28.0	4.7
20230327_1415_1900	100305	200308.0	1	273.0	L	0.3	175.2	YY	0.4	14.1	13.8	98.5	98.1	0.3	28.0	7.0	168.5	RG	102.9	16.4	15.5	103.4	0.5	7.0	28.0	6.7
20230327_1415_1900	100481	200506.0	0	293.0	M	170.0	5.5	GG	0.3	1.5	1.2	1.7	1.4	-5.5	79.0	3.9	171.6	RR	0.8	1.1	0.3	4.2	3.4	3.9	52.0	9.4
20230327_1415_1900	100486	200506.0	0	293.0	M	171.7	3.8	GG	0.3	1.7	1.4	2.6	2.3	-3.8	79.0	3.9	171.6	RR	0.8	1.1	0.3	4.2	3.4	3.9	52.0	7.7
20230327_1415_1900	100491	200506.0	0	293.0	M	174.3	1.2	GG	0.3	2.6	2.3	0.9	0.6	-1.2	79.0	3.9	171.6	RR	0.8	1.1	0.3	4.2	3.4	3.9	52.0	5.1
20230327_1415_1900	100495	200506.0	1	293.0	M	175.2	0.3	GG	0.2	0.9	0.6	2.4	2.2	-0.3	79.0	3.9	171.6	RR	0.8	1.1	0.3	4.2	3.4	3.9	52.0	4.2
20230327_1415_1900	100481	200504.0	0	293.0	M	170.0	5.5	GG	0.3	1.5	1.2	1.7	1.4	-5.5	79.0	2.8	172.7	YY	0.8	2.7	1.9	1.1	0.3	2.8	52.0	8.3
20230327_1415_1900	100486	200504.0	0	293.0	M	171.7	3.8	GG	0.3	1.7	1.4	2.6	2.3	-3.8	79.0	2.8	172.7	YY	0.8	2.7	1.9	1.1	0.3	2.8	52.0	6.6
20230327_1415_1900	100491	200504.0	1	293.0	M	174.3	1.2	GG	0.3	2.6	2.3	0.9	0.6	-1.2	79.0	2.8	172.7	YY	0.8	2.7	1.9	1.1	0.3	2.8	52.0	4.0
20230327_1415_1900	100495	200504.0	0	293.0	M	175.2	0.3	GG	0.2	0.9	0.6	2.4	2.2	-0.3	79.0	2.8	172.7	YY	0.8	2.7	1.9	1.1	0.3	2.8	52.0	3.1
20230327_1415_1900	100481	200497.0	0	293.0	M	170.0	5.5	GG	0.3	1.5	1.2	1.7	1.4	-5.5	79.0	0.1	175.4	YY	0.8	1.5	0.7	2.7	1.9	0.1	52.0	5.6
20230327_1415_1900	100486	200497.0	1	293.0	M	171.7	3.8	GG	0.3	1.7	1.4	2.6	2.3	-3.8	79.0	0.1	175.4	YY	0.8	1.5	0.7	2.7	1.9	0.1	52.0	3.9
20230327_1415_1900	100482	200501.0	0	293.0	R	170.0	5.5	GG	0.4	4.9	4.6	1.3	0.9	-5.5	79.0	2.1	173.4	YY	0.8	1.7	0.8	3.3	2.5	2.1	52.0	7.6
20230327_1415_1900	100485	200501.0	0	293.0	R	171.3	4.2	GG	0.4	1.3	0.9	1.9	1.5	-4.2	79.0	2.1	173.4	YY	0.8	1.7	0.8	3.3	2.5	2.1	52.0	6.3
20230327_1415_1900	100488	200501.0	1	293.0	R	173.2	2.3	GG	0.3	1.9	1.5	1.4	1.1	-2.3	79.0	2.1	173.4	YY	0.8	1.7	0.8	3.3	2.5	2.1	52.0	4.4
20230327_1415_1900	100493	200501.0	0	293.0	R	174.6	0.9	GG	0.1	1.4	1.1	0.6	0.5	-0.9	79.0	2.1	173.4	YY	0.8	1.7	0.8	3.3	2.5	2.1	52.0	3.0
20230327_1415_1900	100482	200508.0	0	293.0	R	170.0	5.5	GG	0.4	4.9	4.6	1.3	0.9	-5.5	79.0	5.4	170.1	RG	92.9	3.3	2.5	94.0	1.1	5.4	52.0	10.9
20230327_1415_1900	100485	200508.0	0	293.0	R	171.3	4.2	GG	0.4	1.3	0.9	1.9	1.5	-4.2	79.0	5.4	170.1	RG	92.9	3.3	2.5	94.0	1.1	5.4	52.0	9.6
20230327_1415_1900	100488	200508.0	0	293.0	R	173.2	2.3	GG	0.3	1.9	1.5	1.4	1.1	-2.3	79.0	5.4	170.1	RG	92.9	3.3	2.5	94.0	1.1	5.4	52.0	7.7
20230327_1415_1900	100493	200508.0	1	293.0	R	174.6	0.9	GG	0.1	1.4	1.1	0.6	0.5	-0.9	79.0	5.4	170.1	RG	92.9	3.3	2.5	94.0	1.1	5.4	52.0	6.3
20230327_1415_1900	100496	200508.0	0	293.0	R	175.2	0.3	GG	0.3	0.6	0.5	1.4	1.1	-0.3	79.0	5.4	170.1	RG	92.9	3.3	2.5	94.0	1.1	5.4	52.0	5.7
20230327_1415_1900	100499	200508.0	0	293.0	R	1.1	174.4	YY	0.3	1.4	1.1	1.4	1.1	1.1	52.0	5.4	170.1	RG	92.9	3.3	2.5	94.0	1.1	5.4	52.0	4.3
20230327_1415_1900	100503	200508.0	0	293.0	R	2.5	173.0	YY	0.4	1.4	1.1	11.5	11.1	2.5	52.0	5.4	170.1	RG	92.9	3.3	2.5	94.0	1.1	5.4	52.0	2.9
20230327_1415_1900	100482	200498.0	0	293.0	R	170.0	5.5	GG	0.4	4.9	4.6	1.3	0.9	-5.5	79.0	0.4	175.1	YY	0.9	1.3	0.3	1.7	0.8	0.4	52.0	5.9
20230327_1415_1900	100485	200498.0	1	293.0	R	171.3	4.2	GG	0.4	1.3	0.9	1.9	1.5	-4.2	79.0	0.4	175.1	YY	0.9	1.3	0.3	1.7	0.8	0.4	52.0	4.6
20230327_1415_1900	100488	200498.0	0	293.0	R	173.2	2.3	GG	0.3	1.9	1.5	1.4	1.1	-2.3	79.0	0.4	175.1	YY	0.9	1.3	0.3	1.7	0.8	0.4	52.0	2.7
20230327_1415_1900	100482	200492.0	1	293.0	R	170.0	5.5	GG	0.4	4.9	4.6	1.3	0.9	-5.5	79.0	174.6	0.9	GY	1.0	5.5	4.7	1.3	0.3	-0.9	79.0	4.6
20230327_1415_1900	100485	200492.0	0	293.0	R	171.3	4.2	GG	0.4	1.3	0.9	1.9	1.5	-4.2	79.0	174.6	0.9	GY	1.0	5.5	4.7	1.3	0.3	-0.9	79.0	3.3
20230327_1415_1900	100483	200502.0	0	293.0	L	170.6	4.9	GG	0.2	3.4	3.1	2.8	2.6	-4.9	79.0	2.3	173.2	YY	0.9	3.0	2.2	10.0	9.1	2.3	52.0	7.2
20230327_1415_1900	100489	200502.0	1	293.0	L	173.4	2.1	GG	0.3	2.8	2.6	4.9	4.6	-2.1	79.0	2.3	173.2	YY	0.9	3.0	2.2	10.0	9.1	2.3	52.0	4.4
20230327_1415_1900	100483	200494.0	1	293.0	L	170.6	4.9	GG	0.2	3.4	3.1	2.8	2.6	-4.9	79.0	174.8	0.7	GY	0.8	3.7	2.9	3.0	2.2	-0.7	79.0	4.2
20230327_1415_1900	100486	200511.0	0	293.0	M	171.7	3.8	GG	0.3	1.7	1.4	2.6	2.3	-3.8	79.0	8.1	167.4	RG	94.1	4.2	3.4	94.5	0.4	8.1	52.0	11.9
20230327_1415_1900	100491	200511.0	0	293.0	M	174.3	1.2	GG	0.3	2.6	2.3	0.9	0.6	-1.2	79.0	8.1	167.4	RG	94.1	4.2	3.4	94.5	0.4	8.1	52.0	9.3
20230327_1415_1900	100495	200511.0	0	293.0	M	175.2	0.3	GG	0.2	0.9	0.6	2.4	2.2	-0.3	79.0	8.1	167.4	RG	94.1	4.2	3.4	94.5	0.4	8.1	52.0	8.4
20230327_1415_1900	100500	200511.0	1	293.0	M	2.1	173.4	YY	0.3	2.4	2.2	3.5	3.2	2.1	52.0	8.1	167.4	RG	94.1	4.2	3.4	94.5	0.4	8.1	52.0	6.0
20230327_1415_1900	100705	200708.0	1	293.0	M	1.1	148.9	YY	0.5	5.8	5.6	16.6	16.1	1.1	41.0	8.6	141.4	RG	91.9	9.8	9.1	92.2	0.3	8.6	41.0	7.5
20230327_1415_1900	100706	200710.0	1	293.0	L	2.9	147.1	YY	0.5	8.7	8.2	4.0	3.5	2.9	41.0	11.7	138.3	RG	87.3	13.4	12.5	87.5	0.2	11.7	41.0	8.8
20230327_1415_1900	100769	200780.0	0	293.0	M	144.9	5.1	GG	0.3	3.2	2.9	2.1	1.8	-5.1	41.0	1.8	148.2	YR	1.8	2.2	1.3	11.8	10.0	1.8	59.0	6.9
20230327_1415_1900	100774	200780.0	1	293.0	M	147.0	3.0	GG	0.4	2.1	1.8	1.3	0.9	-3.0	41.0	1.8	148.2	YR	1.8	2.2	1.3	11.8	10.0	1.8	59.0	4.8
20230327_1415_1900	100775	200780.0	0	293.0	M	148.3	1.7	GG	0.3	1.3	0.9	6.2	5.9	-1.7	41.0	1.8	148.2	YR	1.8	2.2	1.3	11.8	10.0	1.8	59.0	3.5
20230327_1415_1900	100769	200776.0	1	293.0	M	144.9	5.1	GG	0.3	3.2	2.9	2.1	1.8	-5.1	41.0	149.6	0.4	GY	0.9	3.2	2.4	2.2	1.3	-0.4	41.0	4.7
20230327_1415_1900	100774	200776.0	0	293.0	M	147.0	3.0	GG	0.4	2.1	1.8	1.3	0.9	-3.0	41.0	149.6	0.4	GY	0.9	3.2	2.4	2.2	1.3	-0.4	41.0	2.6
20230327_1415_1900	100773	200786.0	0	293.0	L	146.7	3.3	GG	0.5	5.9	5.4	3.8	3.3	-3.3	41.0	6.6	143.4	RG	84.2	3.6	3.0	84.9	0.7	6.6	59.0	9.9
20230327_1415_1900	100777	200786.0	1	293.0	L	0.5	149.5	YY	0.7	3.8	3.3	4.3	3.6	0.5	59.0	6.6	143.4	RG	84.2	3.6	3.0	84.9	0.7	6.6	59.0	6.1
20230327_1415_1900	100773	200781.0	0	293.0	L	146.7	3.3	GG	0.5	5.9	5.4	3.8	3.3	-3.3	41.0	3.0	147.0	YR	0.6	1.6	0.8	3.6	3.0	3.0	59.0	6.3
20230327_1415_1900	100775	200781.0	1	293.0	M	148.3	1.7	GG	0.3	1.3	0.9	6.2	5.9	-1.7	41.0	3.0	147.0	YR	0.6	1.6	0.8	3.6	3.0	3.0	59.0	4.7
20230327_1415_1900	100777	200781.0	0	293.0	L	0.5	149.5	YY	0.7	3.8	3.3	4.3	3.6	0.5	59.0	3.0	147.0	YR	0.6	1.6	0.8	3.6	3.0	3.0	59.0	2.5
20230327_1415_1900	100773	200779.0	1	293.0	L	146.7	3.3	GG	0.5	5.9	5.4	3.8	3.3	-3.3	41.0	1.4	148.6	YY	0.8	8.2	7.2	1.6	0.8	1.4	59.0	4.7
20230327_1415_1900	100778	200790.0	1	293.0	R	1.1	148.9	YY	0.4	9.8	9.1	4.4	4.0	1.1	59.0	8.2	141.8	RG	82.9	11.9	10.7	84.3	1.4	8.2	59.0	7.1
20230327_1415_1900	100890	200892.0	1	293.0	L	148.0	2.0	GG	0.8	19.7	19.0	4.6	3.8	-2.0	59.0	2.4	147.6	YY	0.8	9.2	8.3	11.6	10.8	2.4	38.0	4.4
20230327_1415_1900	100891	200894.0	1	293.0	R	0.2	149.8	YY	0.2	13.0	12.4	42.0	41.8	0.2	38.0	5.4	144.6	RG	89.9	11.2	9.8	90.7	0.8	5.4	38.0	5.2
20230327_1415_1900	101040	201046.0	1	281.0	L	145.5	4.5	GG	0.4	3.6	3.2	7.0	6.6	-4.5	49.0	149.4	0.6	GY	0.8	3.6	2.8	10.4	9.6	-0.6	49.0	3.9
20230327_1415_1900	101041	201048.0	0	281.0	R	145.8	4.2	GG	0.3	2.2	2.0	1.8	1.5	-4.2	49.0	1.4	148.6	YY	0.8	1.9	1.2	10.4	9.6	1.4	55.0	5.6
20230327_1415_1900	101045	201048.0	1	281.0	R	147.6	2.4	GG	0.3	1.8	1.5	7.0	6.7	-2.4	49.0	1.4	148.6	YY	0.8	1.9	1.2	10.4	9.6	1.4	55.0	3.8
20230327_1415_1900	101041	201047.0	1	281.0	R	145.8	4.2	GG	0.3	2.2	2.0	1.8	1.5	-4.2	49.0	149.5	0.5	GY	0.7	2.4	1.8	1.9	1.2	-0.5	49.0	3.7
20230327_1415_1900	101049	201052.0	1	281.0	L	2.5	147.5	YY	0.4	7.0	6.6	47.4	47.0	2.5	55.0	9.8	140.2	RG	78.6	10.4	9.6	82.3	3.7	9.8	55.0	7.3
20230327_1415_1900	101140	201157.0	0	281.0	R	145.3	4.7	GG	0.2	1.8	1.6	1.5	1.3	-4.7	55.0	5.6	144.4	RG	98.9	4.2	3.3	100.7	1.8	5.6	46.0	10.3
20230327_1415_1900	101145	201157.0	0	281.0	R	146.8	3.2	GG	0.4	1.5	1.3	3.3	2.9	-3.2	55.0	5.6	144.4	RG	98.9	4.2	3.3	100.7	1.8	5.6	46.0	8.8
20230327_1415_1900	101150	201157.0	1	281.0	R	0.1	149.9	YY	0.2	3.3	2.9	24.4	24.2	0.1	46.0	5.6	144.4	RG	98.9	4.2	3.3	100.7	1.8	5.6	46.0	5.5
20230327_1415_1900	101140	201149.0	1	281.0	R	145.3	4.7	GG	0.2	1.8	1.6	1.5	1.3	-4.7	55.0	149.3	0.7	GY	0.8	3.2	2.1	2.1	1.3	-0.7	55.0	4.0
20230327_1415_1900	101145	201149.0	0	281.0	R	146.8	3.2	GG	0.4	1.5	1.3	3.3	2.9	-3.2	55.0	149.3	0.7	GY	0.8	3.2	2.1	2.1	1.3	-0.7	55.0	2.5
20230327_1415_1900	101140	201153.0	0	281.0	R	145.3	4.7	GG	0.2	1.8	1.6	1.5	1.3	-4.7	55.0	1.4	148.6	YY	0.9	2.1	1.3	4.2	3.3	1.4	46.0	6.1
20230327_1415_1900	101145	201153.0	1	281.0	R	146.8	3.2	GG	0.4	1.5	1.3	3.3	2.9	-3.2	55.0	1.4	148.6	YY	0.9	2.1	1.3	4.2	3.3	1.4	46.0	4.6
20230327_1415_1900	101143	201163.0	0	281.0	L	146.3	3.7	GG	0.5	2.3	1.9	5.0	4.5	-3.7	55.0	8.9	141.1	RG	92.9	10.3	9.4	94.0	1.1	8.9	46.0	12.6
20230327_1415_1900	101152	201163.0	0	281.0	L	1.3	148.7	YY	0.7	5.0	4.5	4.4	3.7	1.3	46.0	8.9	141.1	RG	92.9	10.3	9.4	94.0	1.1	8.9	46.0	7.6
20230327_1415_1900	101155	201163.0	1	281.0	M	2.7	147.3	YY	0.4	1.6	1.2	3.7	3.3	2.7	46.0	8.9	141.1	RG	92.9	10.3	9.4	94.0	1.1	8.9	46.0	6.2
