file	adv	stop	match	volume_adv_15	Lane_adv	AIY_adv	TUY_adv	SCA_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	HeadwayLead_adv	GapLead_adv	arrival_time_adv	volume_adv_cycle_adv	AIY_stop	TUY_stop	SCA_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	HeadwayLead_stop	GapLead_stop	arrival_time_stop	volume_adv_cycle_stop	travel_time
20221206_0645_0715	100022	200023.0	1.0	121.0	M	2.5	117.5	YY	0.3	51.6	51.2	45.8	45.5	2.5	26.0	8.8	111.2	RG	59.9	41.8	40.2	60.6	0.7	8.8	26.0	6.3
20221206_0645_0715	100068	200069.0	1.0	121.0	M	1.1	118.9	YY	0.3	35.1	34.7	26.3	26.0	1.1	18.0	6.6	113.4	RG	60.2	48.0	47.0	61.4	1.2	6.6	18.0	5.5
20221206_0645_0715	100092	200093.0	1.0	121.0	L	119.2	0.8	GG	0.4	79.8	78.8	22.9	22.5	-0.8	18.0	3.3	116.7	YR	0.8	52.8	50.9	27.9	27.1	3.3	12.0	4.1
20221206_0645_0715	100131	200132.0	1.0	121.0	L	118.0	2.0	GG	0.3	66.0	65.6	30.8	30.5	-2.0	13.0	1.3	118.7	YY	0.7	43.0	41.2	33.6	32.9	1.3	25.0	3.3
20221206_0645_0715	100133	200134.0	1.0	121.0	M	2.2	117.8	YY	0.3	56.8	56.4	33.7	33.4	2.2	25.0	8.0	112.0	RG	67.1	51.0	48.9	67.5	0.4	8.0	25.0	5.8
20221206_0645_0715	100185	200186.0	1.0	130.0	M	116.3	3.7	GG	0.3	109.4	109.0	45.7	45.4	-3.7	8.0	0.8	126.2	YY	0.8	106.1	43.7	47.5	46.7	0.8	10.0	4.5
20221206_0645_0715	100204	200205.0	1.0	130.0	R	2.2	110.8	YY	0.3	76.0	75.6	30.9	30.6	2.2	17.0	8.6	104.4	RG	55.9	76.1	72.2	56.5	0.6	8.6	17.0	6.4
20221206_0645_0715	100233	200235.0	1.0	130.0	M	1.4	118.6	YY	0.2	47.1	46.7	12.3	12.1	1.4	16.0	8.7	111.3	RG	58.2	49.6	48.8	58.8	0.6	8.7	16.0	7.3
20221206_0645_0715	100289	200294.0	0.0	130.0	L	118.2	1.8	GG	0.4	16.6	16.1	4.0	3.6	-1.8	22.0	10.6	109.4	RG	67.0	24.6	23.8	67.8	0.8	10.6	24.0	12.4
20221206_0645_0715	100290	200293.0	1.0	130.0	M	1.9	118.1	YY	0.3	25.2	24.9	49.0	48.7	1.9	24.0	7.5	112.5	RG	70.3	26.6	25.8	71.9	1.6	7.5	24.0	5.6
20221206_0645_0715	100291	200294.0	1.0	130.0	L	2.2	117.8	YY	0.5	4.0	3.6	49.8	49.3	2.2	24.0	10.6	109.4	RG	67.0	24.6	23.8	67.8	0.8	10.6	24.0	8.4
20221206_0645_0715	100355	200356.0	1.0	130.0	R	118.1	1.9	GG	0.4	37.6	36.8	52.6	52.2	-1.9	16.0	2.8	117.2	YR	0.9	35.6	33.9	54.3	53.4	2.8	29.0	4.7
20221206_0945_1200	100046	200048.0	1.0	201.0	M	102.4	2.6	GG	0.5	20.4	17.8	25.6	25.1	-2.6	26.0	4.8	90.2	RG	65.3	16.5	15.5	65.5	0.2	4.8	33.0	7.4
20221206_0945_1200	100101	200102.0	1.0	201.0	L	90.0	5.0	GG	1.4	8.8	8.4	49.7	48.3	-5.0	33.0	94.7	0.3	GY	1.7	7.4	6.2	55.4	53.7	-0.3	33.0	4.7
20221206_0945_1200	100103	200104.0	1.0	201.0	R	2.5	97.5	YY	0.4	16.9	15.5	35.7	35.3	2.5	27.0	8.4	91.6	RG	68.4	14.7	13.4	69.3	0.9	8.4	27.0	5.9
20221206_0945_1200	100225	200227.0	1.0	201.0	R	95.5	4.5	GG	0.3	12.9	12.5	13.1	12.8	-4.5	23.0	99.3	0.7	GY	0.8	12.2	11.3	19.5	18.7	-0.7	23.0	3.8
20221206_0945_1200	100324	200326.0	1.0	201.0	R	91.1	3.9	GG	0.3	43.1	42.5	27.0	26.7	-3.9	23.0	95.0	0.0	GY	0.7	28.4	26.9	31.1	30.4	0.0	23.0	3.9
20221206_0945_1200	100370	200374.0	0.0	200.0	M	95.0	5.0	GG	0.4	9.0	8.7	5.4	5.0	-5.0	25.0	6.4	98.6	RG	66.4	7.8	7.0	66.8	0.4	6.4	23.0	11.4
20221206_0945_1200	100372	200374.0	1.0	200.0	M	0.4	104.6	YY	0.3	5.4	5.0	45.9	45.6	0.4	23.0	6.4	98.6	RG	66.4	7.8	7.0	66.8	0.4	6.4	23.0	6.0
20221206_0945_1200	100413	200414.0	1.0	200.0	M	101.3	3.7	GG	0.4	17.3	17.0	49.4	49.0	-3.7	23.0	1.0	94.0	YY	1.0	17.0	16.0	51.2	50.2	1.0	26.0	4.7
20221206_0945_1200	100461	200462.0	1.0	200.0	L	90.0	5.0	GG	0.6	9.9	9.1	16.1	15.5	-5.0	26.0	94.9	0.1	GY	1.1	6.4	5.2	43.7	42.6	-0.1	26.0	4.9
20221206_0945_1200	100481	200484.0	0.0	200.0	M	94.7	5.3	GG	0.3	38.0	37.3	5.4	5.1	-5.3	12.0	5.2	94.8	RG	70.6	5.7	4.7	70.8	0.2	5.2	24.0	10.5
20221206_0945_1200	100481	200482.0	1.0	200.0	M	94.7	5.3	GG	0.3	38.0	37.3	5.4	5.1	-5.3	12.0	99.5	0.5	GY	1.0	72.4	21.8	5.7	4.7	-0.5	12.0	4.8
20221206_0945_1200	100483	200484.0	1.0	200.0	M	0.1	99.9	YY	0.3	5.4	5.1	21.4	21.1	0.1	24.0	5.2	94.8	RG	70.6	5.7	4.7	70.8	0.2	5.2	24.0	5.1
20221206_0945_1200	100570	200571.0	1.0	200.0	R	1.6	98.4	YY	0.4	14.5	13.0	40.2	39.8	1.6	24.0	8.5	91.5	RG	70.2	10.9	9.6	71.1	0.9	8.5	24.0	6.9
20221206_0945_1200	100607	200608.0	1.0	200.0	M	95.7	4.3	GG	0.3	30.1	29.4	14.7	14.4	-4.3	24.0	99.8	0.2	GY	0.8	13.7	10.7	19.1	18.3	-0.2	24.0	4.1
20221206_0945_1200	100797	200799.0	1.0	187.0	R	1.6	94.2	YY	0.4	30.3	29.7	13.8	13.4	1.6	30.0	7.5	88.3	RG	64.7	26.8	25.3	65.3	0.6	7.5	30.0	5.9
20221206_0945_1200	100880	200881.0	1.0	187.0	M	99.7	0.3	GY	0.4	10.4	10.0	44.0	43.6	-0.3	18.0	6.8	93.2	RG	73.0	12.3	11.3	75.9	2.9	6.8	21.0	7.1
20221206_0945_1200	100916	200918.0	1.0	187.0	L	98.9	1.1	GG	0.6	13.6	12.7	6.4	5.8	-1.1	21.0	2.7	97.3	YY	0.7	10.8	9.7	9.7	9.0	2.7	19.0	3.8
20221206_0945_1200	100917	200920.0	1.0	187.0	M	1.3	98.7	YY	0.3	12.1	11.8	19.9	19.6	1.3	19.0	6.3	93.7	RG	60.5	11.2	10.2	61.2	0.7	6.3	19.0	5.0
20221206_0945_1200	100946	200949.0	1.0	187.0	L	94.2	5.8	GG	1.1	18.0	17.6	10.0	8.9	-5.8	19.0	99.4	0.6	GY	1.0	1.9	1.0	11.3	10.3	-0.6	19.0	5.2
20221206_0945_1200	100950	200952.0	1.0	187.0	M	2.6	97.4	YY	0.4	9.5	9.2	23.4	23.0	2.6	18.0	9.3	90.7	RG	63.4	33.8	33.1	64.4	1.0	9.3	18.0	6.7
20221206_0945_1200	100973	200975.0	1.0	187.0	M	99.7	0.3	GY	0.3	48.4	48.1	24.1	23.8	-0.3	18.0	5.0	95.0	RG	73.9	8.8	8.1	75.5	1.6	5.0	27.0	5.3
20221206_0945_1200	100974	200976.0	1.0	187.0	R	0.9	99.1	YY	0.5	4.3	4.0	22.8	22.3	0.9	27.0	10.0	90.0	RG	68.6	23.0	21.8	69.6	1.0	10.0	27.0	9.1
20221206_0945_1200	101047	201050.0	1.0	205.0	R	96.1	3.9	GG	0.4	2.9	2.6	33.2	32.8	-3.9	18.0	0.9	101.5	YY	0.9	3.4	2.5	37.2	36.3	0.9	29.0	4.8
20221206_0945_1200	101049	201051.0	1.0	205.0	M	100.0	0.0	GY	0.2	39.0	38.4	21.0	20.8	0.0	18.0	6.3	96.1	RG	57.1	26.3	22.4	59.5	2.4	6.3	29.0	6.3
20221206_0945_1200	101231	201237.0	0.0	205.0	L	96.9	3.1	GG	0.3	36.4	35.8	4.1	3.8	-3.1	25.0	8.0	97.0	RG	67.8	24.1	22.6	68.4	0.6	8.0	30.0	11.1
20221206_0945_1200	101234	201237.0	1.0	205.0	L	1.0	104.0	YY	0.3	4.1	3.8	22.5	22.2	1.0	30.0	8.0	97.0	RG	67.8	24.1	22.6	68.4	0.6	8.0	30.0	7.0
20221206_0945_1200	101353	201354.0	1.0	205.0	L	90.6	4.4	GG	0.4	7.6	6.7	47.4	47.0	-4.4	45.0	0.6	99.7	YY	0.9	6.5	5.4	51.1	50.2	0.6	21.0	5.0
20221206_0945_1200	101416	201418.0	1.0	203.0	R	0.3	99.7	YY	0.2	9.0	8.6	5.9	5.7	0.3	25.0	6.4	93.6	RG	70.2	13.4	12.5	70.6	0.4	6.4	25.0	6.1
20221206_0945_1200	101456	201458.0	1.0	203.0	R	95.9	4.1	GG	0.6	17.5	16.5	35.5	34.9	-4.1	25.0	5.4	94.6	RG	70.7	10.9	9.5	71.4	0.7	5.4	17.0	9.5
20221206_0945_1200	101506	201508.0	1.0	203.0	M	96.0	4.0	GG	0.3	7.5	7.3	37.9	37.6	-4.0	18.0	0.2	99.8	YY	0.9	33.4	31.2	43.4	42.5	0.2	41.0	4.2
20221206_0945_1200	101580	201583.0	1.0	203.0	R	99.2	0.8	GG	0.3	9.6	9.1	33.1	32.8	-0.8	41.0	4.1	95.9	RG	70.3	8.4	7.4	72.8	2.5	4.1	22.0	4.9
20221206_0945_1200	101619	201621.0	1.0	203.0	M	95.7	4.3	GG	0.3	25.7	25.2	55.7	55.4	-4.3	22.0	99.9	0.1	GY	0.7	19.9	16.8	58.0	57.3	-0.1	22.0	4.2
20221206_0945_1200	101648	201650.0	1.0	203.0	M	95.7	4.3	GG	0.3	8.3	7.9	32.3	32.0	-4.3	16.0	0.6	99.4	YY	0.9	8.8	8.0	36.2	35.3	0.6	24.0	4.9
20221206_0945_1200	101693	201695.0	1.0	203.0	R	95.9	4.1	GG	0.3	7.0	6.6	13.1	12.8	-4.1	24.0	0.7	99.3	YY	0.9	6.2	5.2	44.9	44.0	0.7	24.0	4.8
20221206_0945_1200	101779	201781.0	1.0	197.0	L	95.6	4.4	GG	0.5	23.7	22.9	41.0	40.5	-4.4	28.0	0.3	99.7	YY	0.9	12.6	11.3	42.8	41.9	0.3	22.0	4.7
20221206_0945_1200	101859	201865.0	1.0	197.0	L	95.0	5.0	GG	0.5	2.7	2.4	49.4	48.9	-5.0	27.0	99.4	0.6	GY	0.9	2.9	2.2	52.0	51.1	-0.6	27.0	4.4
20221206_0945_1200	101862	201867.0	0.0	197.0	M	97.1	2.9	GG	0.3	3.8	3.4	0.9	0.6	-2.9	27.0	2.7	97.3	YY	0.7	1.1	0.3	12.9	12.2	2.7	19.0	5.6
20221206_0945_1200	101862	201866.0	1.0	197.0	M	97.1	2.9	GG	0.3	3.8	3.4	0.9	0.6	-2.9	27.0	1.6	98.4	YY	0.8	4.0	3.2	1.1	0.3	1.6	19.0	4.5
20221206_0945_1200	101864	201866.0	0.0	197.0	M	98.0	2.0	GG	0.4	0.9	0.6	9.4	9.0	-2.0	27.0	1.6	98.4	YY	0.8	4.0	3.2	1.1	0.3	1.6	19.0	3.6
20221206_0945_1200	101864	201867.0	1.0	197.0	M	98.0	2.0	GG	0.4	0.9	0.6	9.4	9.0	-2.0	27.0	2.7	97.3	YY	0.7	1.1	0.3	12.9	12.2	2.7	19.0	4.7
20221206_0945_1200	101896	201898.0	1.0	197.0	M	98.9	1.1	GG	0.3	9.1	8.9	9.9	9.6	-1.1	19.0	2.6	97.4	YY	0.7	8.0	7.1	14.6	13.9	2.6	24.0	3.7
20221206_0945_1200	101897	201899.0	1.0	197.0	L	1.5	98.5	YY	0.3	52.5	51.6	16.7	16.4	1.5	24.0	7.2	92.8	RG	69.7	55.8	31.7	69.9	0.2	7.2	24.0	5.7
20221206_0945_1200	102054	202055.0	1.0	197.0	R	1.1	98.9	YY	0.5	21.6	21.2	12.8	12.3	1.1	24.0	9.5	90.5	RG	64.9	24.5	23.4	66.6	1.7	9.5	24.0	8.4
20221206_0945_1200	102139	202144.0	0.0	262.0	R	97.2	2.8	GG	0.3	13.2	12.9	3.6	3.3	-2.8	25.0	6.9	93.1	RG	72.9	5.3	4.5	73.0	0.1	6.9	21.0	9.7
20221206_0945_1200	102139	202141.0	1.0	262.0	R	97.2	2.8	GG	0.3	13.2	12.9	3.6	3.3	-2.8	25.0	1.6	98.4	YY	0.8	13.2	12.4	5.3	4.5	1.6	21.0	4.4
20221206_0945_1200	102140	202144.0	1.0	262.0	R	0.8	99.2	YY	0.3	3.6	3.3	7.7	7.4	0.8	21.0	6.9	93.1	RG	72.9	5.3	4.5	73.0	0.1	6.9	21.0	6.1
20221206_0945_1200	102142	202145.0	1.0	262.0	M	1.7	98.3	YY	0.3	8.9	8.6	45.6	45.3	1.7	21.0	8.3	91.7	RG	67.8	11.6	10.8	68.0	0.2	8.3	21.0	6.6
20221206_0945_1200	102175	202176.0	1.0	262.0	L	98.0	2.0	GG	0.5	9.6	9.1	7.1	6.6	-2.0	21.0	1.8	98.2	YY	0.8	8.4	7.3	16.9	16.1	1.8	36.0	3.8
20221206_0945_1200	102278	202283.0	1.0	262.0	R	97.2	2.8	GG	0.4	14.2	13.8	2.1	1.7	-2.8	26.0	1.8	98.2	YY	0.9	13.1	12.0	2.0	1.1	1.8	36.0	4.6
20221206_0945_1200	102278	202286.0	0.0	262.0	R	97.2	2.8	GG	0.4	14.2	13.8	2.1	1.7	-2.8	26.0	3.8	96.2	RR	0.8	2.0	1.1	7.1	6.3	3.8	36.0	6.6
20221206_0945_1200	102281	202290.0	0.0	262.0	R	99.3	0.7	GG	0.3	2.1	1.7	4.3	4.0	-0.7	26.0	10.9	89.1	RG	52.3	7.1	6.3	53.3	1.0	10.9	36.0	11.6
20221206_0945_1200	102281	202286.0	1.0	262.0	R	99.3	0.7	GG	0.3	2.1	1.7	4.3	4.0	-0.7	26.0	3.8	96.2	RR	0.8	2.0	1.1	7.1	6.3	3.8	36.0	4.5
20221206_0945_1200	102281	202283.0	0.0	262.0	R	99.3	0.7	GG	0.3	2.1	1.7	4.3	4.0	-0.7	26.0	1.8	98.2	YY	0.9	13.1	12.0	2.0	1.1	1.8	36.0	2.5
20221206_0945_1200	102284	202289.0	1.0	262.0	M	2.8	97.2	YY	0.3	8.2	8.0	15.0	14.7	2.8	36.0	10.0	90.0	RG	54.4	11.8	11.1	64.3	9.9	10.0	36.0	7.2
20221206_0945_1200	102285	202290.0	1.0	262.0	R	3.6	96.4	RR	0.3	4.3	4.0	45.3	45.0	3.6	36.0	10.9	89.1	RG	52.3	7.1	6.3	53.3	1.0	10.9	36.0	7.3
20221206_0945_1200	102336	202350.0	0.0	262.0	R	94.4	5.6	GG	0.3	1.7	1.4	3.4	3.1	-5.6	36.0	2.3	97.7	YY	0.8	3.2	2.2	1.8	1.0	2.3	16.0	7.9
20221206_0945_1200	102336	202346.0	1.0	262.0	R	94.4	5.6	GG	0.3	1.7	1.4	3.4	3.1	-5.6	36.0	99.1	0.9	GY	1.0	2.1	1.2	3.2	2.2	-0.9	36.0	4.7
20221206_0945_1200	102336	202353.0	0.0	262.0	R	94.4	5.6	GG	0.3	1.7	1.4	3.4	3.1	-5.6	36.0	4.1	95.9	RR	0.8	1.8	1.0	23.8	23.0	4.1	16.0	9.7
20221206_0945_1200	102337	202347.0	1.0	262.0	L	94.7	5.3	GG	0.3	1.6	1.2	1.6	1.3	-5.3	36.0	99.3	0.7	GY	0.9	1.6	0.7	1.6	0.7	-0.7	36.0	4.6
20221206_0945_1200	102337	202349.0	0.0	262.0	L	94.7	5.3	GG	0.3	1.6	1.2	1.6	1.3	-5.3	36.0	0.9	99.1	YY	0.9	1.6	0.7	9.6	8.7	0.9	16.0	6.2
20221206_0945_1200	102340	202349.0	1.0	262.0	L	96.3	3.7	GG	0.5	1.6	1.3	7.7	7.2	-3.7	36.0	0.9	99.1	YY	0.9	1.6	0.7	9.6	8.7	0.9	16.0	4.6
20221206_0945_1200	102340	202347.0	0.0	262.0	L	96.3	3.7	GG	0.5	1.6	1.3	7.7	7.2	-3.7	36.0	99.3	0.7	GY	0.9	1.6	0.7	1.6	0.7	-0.7	36.0	3.0
20221206_0945_1200	102344	202353.0	0.0	262.0	R	97.8	2.2	GG	0.4	3.4	3.1	2.0	1.6	-2.2	36.0	4.1	95.9	RR	0.8	1.8	1.0	23.8	23.0	4.1	16.0	6.3
20221206_0945_1200	102344	202350.0	1.0	262.0	R	97.8	2.2	GG	0.4	3.4	3.1	2.0	1.6	-2.2	36.0	2.3	97.7	YY	0.8	3.2	2.2	1.8	1.0	2.3	16.0	4.5
20221206_0945_1200	102345	202351.0	1.0	262.0	M	98.2	1.8	GG	0.4	6.3	5.6	18.5	18.1	-1.8	36.0	2.9	97.1	YR	1.0	6.6	5.4	19.5	18.5	2.9	16.0	4.7
20221206_0945_1200	102348	202350.0	0.0	262.0	R	99.8	0.2	GY	0.3	2.0	1.6	21.2	20.9	-0.2	36.0	2.3	97.7	YY	0.8	3.2	2.2	1.8	1.0	2.3	16.0	2.5
20221206_0945_1200	102348	202353.0	1.0	262.0	R	99.8	0.2	GY	0.3	2.0	1.6	21.2	20.9	-0.2	36.0	4.1	95.9	RR	0.8	1.8	1.0	23.8	23.0	4.1	16.0	4.3
20221206_0945_1200	102376	202378.0	1.0	262.0	R	96.3	3.7	GG	0.3	5.2	4.9	9.1	8.8	-3.7	16.0	0.1	99.9	YY	0.7	5.3	4.7	12.6	11.9	0.1	25.0	3.8
20221206_0945_1200	102379	202381.0	1.0	262.0	L	0.1	99.9	YY	0.3	8.1	7.8	4.7	4.4	0.1	25.0	5.4	94.6	RG	68.9	9.4	8.8	69.4	0.5	5.4	25.0	5.3
20221206_0945_1200	102419	202422.0	1.0	262.0	L	96.2	3.8	GG	0.2	25.1	24.5	2.7	2.5	-3.8	25.0	0.3	99.7	YY	0.8	16.9	15.3	2.7	1.9	0.3	28.0	4.1
20221206_0945_1200	102419	202424.0	0.0	262.0	L	96.2	3.8	GG	0.2	25.1	24.5	2.7	2.5	-3.8	25.0	3.0	97.0	YR	0.8	2.7	1.9	20.7	19.9	3.0	28.0	6.8
20221206_0945_1200	102420	202423.0	1.0	262.0	R	97.3	2.7	GG	0.2	21.5	10.8	6.2	6.0	-2.7	25.0	1.3	98.7	YY	0.8	5.6	4.3	9.6	8.8	1.3	28.0	4.0
20221206_0945_1200	102421	202424.0	1.0	262.0	L	98.9	1.1	GG	0.3	2.7	2.5	16.7	16.4	-1.1	25.0	3.0	97.0	YR	0.8	2.7	1.9	20.7	19.9	3.0	28.0	4.1
20221206_0945_1200	102425	202427.0	1.0	262.0	R	3.5	96.5	YR	0.4	6.2	6.0	9.5	9.1	3.5	28.0	10.9	89.1	RG	76.4	9.6	8.8	77.5	1.1	10.9	28.0	7.4
20221206_0945_1200	102468	202471.0	1.0	262.0	R	97.7	2.3	GG	0.3	11.4	9.4	6.7	6.4	-2.3	28.0	1.8	98.2	YY	0.8	5.6	4.3	12.7	11.9	1.8	44.0	4.1
20221206_0945_1200	102469	202473.0	1.0	262.0	M	97.8	2.2	GG	0.4	7.2	6.9	4.9	4.5	-2.2	28.0	2.3	97.7	YY	0.9	7.9	7.2	8.6	7.7	2.3	44.0	4.5
20221206_0945_1200	102470	202478.0	1.0	262.0	L	0.6	99.4	YY	0.3	6.8	6.6	1.5	1.2	0.6	44.0	7.3	92.7	RG	69.6	9.8	9.1	69.9	0.3	7.3	44.0	6.7
20221206_0945_1200	102472	202478.0	0.0	262.0	L	2.1	97.9	YY	0.3	1.5	1.2	3.3	3.0	2.1	44.0	7.3	92.7	RG	69.6	9.8	9.1	69.9	0.3	7.3	44.0	5.2
20221206_0945_1200	102474	202483.0	1.0	262.0	M	2.7	97.3	YY	0.6	4.9	4.5	2.2	1.6	2.7	44.0	10.9	89.1	RG	64.9	8.6	7.7	65.2	0.3	10.9	44.0	8.2
20221206_0945_1200	102604	202607.0	1.0	238.0	R	100.7	4.3	GG	0.7	4.2	3.5	19.4	18.7	-4.3	40.0	3.7	91.3	RG	52.7	9.8	8.8	56.3	3.6	3.7	38.0	8.0
20221206_0945_1200	102606	202608.0	1.0	238.0	L	0.6	94.4	YY	0.3	8.3	7.9	46.6	46.3	0.6	38.0	5.4	89.6	RG	53.2	8.8	7.9	54.8	1.6	5.4	38.0	4.8
20221206_0945_1200	102675	202676.0	1.0	238.0	M	94.1	0.9	GG	0.3	11.2	10.9	33.2	32.9	-0.9	38.0	3.5	96.5	YR	0.8	4.5	3.6	36.4	35.6	3.5	21.0	4.4
20221206_0945_1200	102715	202716.0	1.0	238.0	L	0.5	99.5	YY	0.3	10.8	10.5	25.8	25.5	0.5	20.0	6.7	93.3	RG	70.1	12.3	11.4	70.5	0.4	6.7	20.0	6.2
20221206_0945_1200	102746	202747.0	0.0	238.0	R	99.4	0.6	GG	0.4	24.0	23.1	11.4	11.0	-0.6	20.0	2.5	97.5	YG	72.6	13.6	12.0	72.9	0.3	2.5	39.0	3.1
20221206_0945_1200	102813	202815.0	1.0	238.0	M	97.3	2.7	GG	0.2	9.1	8.6	38.7	38.5	-2.7	39.0	1.3	98.7	YY	0.7	6.0	4.9	41.3	40.6	1.3	29.0	4.0
20221206_0945_1200	102864	202867.0	1.0	238.0	R	2.8	97.2	YY	0.4	18.4	17.9	12.8	12.4	2.8	35.0	9.6	90.4	RG	55.3	18.2	16.8	55.4	0.1	9.6	35.0	6.8
20221206_0945_1200	102865	202866.0	1.0	238.0	L	3.1	96.9	YY	0.4	20.2	18.7	20.9	20.5	3.1	35.0	9.3	90.7	RG	54.7	15.1	14.0	56.8	2.1	9.3	35.0	6.2
20221206_0945_1200	102962	202963.0	1.0	238.0	R	0.5	99.5	YY	0.4	19.2	18.3	26.6	26.2	0.5	26.0	7.8	92.2	RG	60.4	18.1	16.8	60.9	0.5	7.8	26.0	7.3
20221206_0945_1200	103005	203010.0	0.0	238.0	R	94.2	5.8	GG	0.4	4.4	3.9	1.9	1.5	-5.8	26.0	2.0	98.0	YY	1.2	2.4	1.4	24.4	23.2	2.0	17.0	7.8
20221206_0945_1200	103005	203009.0	1.0	238.0	R	94.2	5.8	GG	0.4	4.4	3.9	1.9	1.5	-5.8	26.0	99.6	0.4	GY	1.0	4.2	3.1	2.4	1.4	-0.4	26.0	5.4
20221206_0945_1200	103007	203010.0	1.0	238.0	R	96.1	3.9	GG	0.4	1.9	1.5	46.4	46.0	-3.9	26.0	2.0	98.0	YY	1.2	2.4	1.4	24.4	23.2	2.0	17.0	5.9
20221206_0945_1200	103007	203009.0	0.0	238.0	R	96.1	3.9	GG	0.4	1.9	1.5	46.4	46.0	-3.9	26.0	99.6	0.4	GY	1.0	4.2	3.1	2.4	1.4	-0.4	26.0	3.5
20221206_0945_1200	103105	203107.0	1.0	247.0	R	103.3	1.7	GG	0.3	7.3	6.6	26.0	25.7	-1.7	37.0	2.5	64.9	YY	0.7	6.8	5.6	29.2	28.5	2.5	23.0	4.2
20221206_0945_1200	103202	203209.0	1.0	247.0	M	107.4	5.3	GG	0.5	4.6	4.3	5.0	4.5	-5.3	42.0	0.9	114.0	YY	1.2	5.8	4.8	5.5	4.3	0.9	21.0	6.2
