file	adv	stop	volume_adv_15	Lane_adv	AIY_adv	TUY_adv	SCA_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	HeadwayLead_adv	GapLead_adv	arrival_time_adv	volume_adv_cycle_adv	AIY_stop	TUY_stop	SCA_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	HeadwayLead_stop	GapLead_stop	arrival_time_stop	volume_adv_cycle_stop	travel_time
20230101_00	100482	200483.0	72.0	L	86.4	0.6	GG	0.4	22.6	22.1	43.1	42.7	-0.6	12.0	4.3	88.7	RG	57.5	21.1	19.8	107.8	50.3	4.3	7.0	4.9
20230101_00	100493	200495.0	72.0	M	3.3	86.7	YY	0.3	21.8	21.5	3.4	3.1	3.3	9.0	8.8	81.2	RG	47.4	23.3	22.5	52.2	4.8	8.8	9.0	5.5
20230101_00	100541	200542.0	72.0	M	86.8	0.2	GY	0.4	20.8	20.5	19.5	19.1	-0.2	8.0	4.5	88.5	RR	0.9	21.0	20.2	22.6	21.7	4.5	9.0	4.7
20230101_01	100099	200100.0	91.0	R	88.9	1.1	GG	0.3	20.5	20.1	10.1	9.8	-1.1	19.0	2.9	87.1	YR	0.8	19.4	18.4	15.3	14.5	2.9	10.0	4.0
20230101_01	100154	200155.0	91.0	R	81.3	5.7	GG	0.3	24.5	24.2	17.6	17.3	-5.7	12.0	86.8	0.2	GY	0.9	24.3	21.4	19.2	18.3	-0.2	12.0	5.5
20230101_01	100224	200226.0	90.0	R	88.5	4.5	GG	0.4	15.6	15.3	64.8	64.4	-4.5	19.0	0.2	89.8	YY	0.9	15.9	15.0	56.3	55.4	0.2	7.0	4.7
20230101_01	100225	200227.0	90.0	L	91.9	1.1	GG	0.7	12.9	12.3	30.5	29.8	-1.1	19.0	3.3	86.7	YR	0.9	12.7	11.8	34.9	34.0	3.3	7.0	4.4
20230101_01	100333	200334.0	90.0	M	2.2	84.8	YY	0.1	29.4	29.0	31.2	31.1	2.2	9.0	8.4	78.6	RG	50.4	30.5	29.6	50.8	0.4	8.4	9.0	6.2
20230101_01	100388	200392.0	80.0	R	2.8	49.7	YY	0.4	19.5	19.1	5.0	4.6	2.8	11.0	9.1	43.4	RG	10.4	20.7	19.7	11.4	1.0	9.1	11.0	6.3
20230101_01	100406	200407.0	80.0	R	49.9	2.6	GG	0.3	23.7	23.4	4.7	4.4	-2.6	11.0	1.5	97.0	YY	0.8	23.3	22.4	7.7	6.9	1.5	9.0	4.1
